timestamp,source,event_type,src_ip,dst_ip,src_port,dst_port,proto,outcome,user,domain,uri,bytes,duration,rule_id,signature,method,status_code,user_agent,true_label
2026-05-04 09:00:00,FW,http,10.0.1.20,10.0.1.100,10168,80,tcp,success,,,/docs,7814,0.368,,,GET,200,,normal
2026-05-04 09:00:18,FW,http,10.0.1.20,10.0.1.200,7164,80,tcp,success,,,/login,1476,0.109,,,GET,200,,normal
2026-05-04 09:00:36,FW,http,10.0.1.18,10.0.1.200,15470,80,tcp,failure,,,/api/status,14246,0.225,,,GET,404,,normal
2026-05-04 09:00:54,FW,http,10.0.1.14,10.0.1.100,11213,443,tcp,success,,,/login,9605,0.108,,,GET,200,,normal
2026-05-04 09:01:12,FW,http,10.0.1.22,10.0.1.101,24550,80,tcp,success,,,/index,3669,0.424,,,GET,302,,normal
2026-05-04 09:01:30,FW,http,10.0.1.19,10.0.1.101,64798,80,tcp,failure,,,/login,4590,0.461,,,GET,404,,normal
2026-05-04 09:01:48,FW,net_conn,10.0.1.11,10.0.1.200,41559,53,tcp,success,,,,21099,0.443,,,,0,,normal
2026-05-04 09:02:06,FW,http,10.0.1.15,10.0.1.200,15959,443,tcp,success,,,/index,22168,0.387,,,GET,200,,normal
2026-05-04 09:02:24,FW,http,10.0.1.11,10.0.1.100,42684,80,tcp,success,,,/login,15357,0.417,,,GET,200,,normal
2026-05-04 09:02:42,FW,net_conn,10.0.1.12,10.0.1.101,44944,53,tcp,success,,,,7365,0.133,,,,0,,normal
2026-05-04 09:03:00,FW,http,10.0.1.24,10.0.1.200,17067,80,tcp,failure,,,/api/status,24392,0.082,,,GET,404,,normal
2026-05-04 09:03:18,FW,http,10.0.1.16,10.0.1.101,54881,443,tcp,success,,,/docs,8005,0.016,,,GET,200,,normal
2026-05-04 09:03:36,FW,net_conn,10.0.1.15,10.0.1.101,14850,53,tcp,success,,,,2668,0.457,,,,0,,normal
2026-05-04 09:03:54,FW,net_conn,10.0.1.19,10.0.1.200,43978,53,tcp,success,,,,7467,0.25,,,,0,,normal
2026-05-04 09:04:12,FW,net_conn,10.0.1.24,10.0.1.200,18383,445,tcp,success,,,,5181,0.07,,,,0,,normal
2026-05-04 09:04:30,FW,net_conn,10.0.1.21,10.0.1.200,39335,53,tcp,success,,,,24978,0.214,,,,0,,normal
2026-05-04 09:04:48,FW,net_conn,10.0.1.19,10.0.1.101,10089,53,tcp,success,,,,7686,0.255,,,,0,,normal
2026-05-04 09:05:06,FW,http,10.0.1.11,10.0.1.100,28690,80,tcp,success,,,/api/status,22798,0.298,,,GET,200,,normal
2026-05-04 09:05:24,FW,net_conn,10.0.1.16,10.0.1.101,17500,445,tcp,success,,,,17838,0.486,,,,0,,normal
2026-05-04 09:05:42,FW,http,10.0.1.23,10.0.1.100,20258,80,tcp,success,,,/docs,4155,0.217,,,GET,200,,normal
2026-05-04 09:06:00,FW,net_conn,10.0.1.17,10.0.1.100,50959,53,tcp,success,,,,16903,0.089,,,,0,,normal
