timestamp,source,event_type,src_ip,dst_ip,src_port,dst_port,proto,outcome,user,domain,uri,bytes,duration,rule_id,signature,method,status_code,user_agent,true_label,comment
2026-05-07 09:00:00,pfSense_Suricata,http,192.168.10.100,172.16.1.12,22004,443,tcp,success,,,/index,82678,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:00:28,pfSense_Suricata,dns,192.168.10.101,192.168.1.102,24709,53,tcp,success,,,,24408,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:00:56,pfSense_Suricata,net_conn,192.168.20.101,172.16.1.10,28816,389,tcp,success,,,,31246,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:01:24,pfSense_Suricata,net_conn,192.168.1.102,172.16.1.12,27242,445,tcp,success,,,,59050,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:01:52,pfSense_Suricata,net_conn,192.168.10.100,192.168.1.102,47205,445,tcp,success,,,,10522,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:02:20,Arkime,http,192.168.10.100,172.16.1.10,10095,80,tcp,success,,,/docs,70431,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:02:48,DC-DNS,dns,192.168.20.102,192.168.1.200,6134,53,tcp,success,,,,79378,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:03:16,pfSense_Suricata,dns,192.168.20.101,172.16.1.11,40004,53,tcp,success,,,,10955,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:03:44,Linux-auth,net_conn,192.168.20.102,172.16.1.12,49523,22,tcp,success,,,,89352,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:04:12,pfSense_Suricata,net_conn,192.168.10.101,172.16.1.11,21369,445,tcp,success,,,,112340,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:04:40,DC-DNS,dns,192.168.20.101,172.16.1.11,60660,53,tcp,success,,,,62719,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:05:08,DC-DNS,dns,192.168.20.102,192.168.1.102,64299,53,tcp,success,,,,57715,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:05:36,Linux-auth,net_conn,192.168.20.102,192.168.1.200,52893,22,tcp,success,,,,57690,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:06:04,pfSense_Suricata,net_conn,192.168.10.101,172.16.1.11,64933,389,tcp,success,,,,102531,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:06:32,pfSense_Suricata,net_conn,192.168.20.101,192.168.1.200,22261,445,tcp,success,,,,38315,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:07:00,Linux-auth,net_conn,192.168.20.102,192.168.1.102,59505,22,tcp,success,,,,33032,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:07:28,Reverse-proxy,http,192.168.20.101,172.16.1.11,28276,443,tcp,success,,,/login,15631,0.02,,,GET,200,Edge/126,normal,штатная активность стенда
2026-05-07 09:07:56,pfSense_Suricata,net_conn,192.168.1.102,172.16.1.11,31195,445,tcp,success,,,,59340,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:08:24,Reverse-proxy,http,192.168.1.102,172.16.1.10,63499,443,tcp,success,,,/favicon.ico,2084,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:08:52,pfSense_Suricata,net_conn,192.168.20.101,172.16.1.10,44639,389,tcp,success,,,,73387,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:09:20,DC-DNS,dns,192.168.10.100,172.16.1.12,51026,53,tcp,success,,,,87364,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:09:48,pfSense_Suricata,net_conn,192.168.1.102,172.16.1.10,62389,445,tcp,success,,,,34739,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:10:16,Arkime,http,192.168.10.101,192.168.1.200,46721,443,tcp,failure,,,/api/status,84071,0.02,,,GET,404,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:10:44,pfSense_Suricata,dns,192.168.20.101,172.16.1.11,58850,53,tcp,success,,,,74064,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:11:12,Windows-EventLog,net_conn,192.168.20.102,172.16.1.12,48574,389,tcp,success,,,,11705,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:11:40,Arkime,http,192.168.20.102,172.16.1.11,53341,443,tcp,success,,,/docs,39597,0.02,,,GET,302,Edge/126,normal,штатная активность стенда
2026-05-07 09:12:08,DC-DNS,dns,192.168.10.101,172.16.1.11,4599,53,tcp,success,,,,32207,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:12:36,pfSense_Suricata,net_conn,192.168.20.101,172.16.1.12,24326,445,tcp,success,,,,84028,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:13:04,Windows-EventLog,net_conn,192.168.10.100,172.16.1.11,23230,389,tcp,success,,,,17168,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:13:32,Windows-EventLog,net_conn,192.168.10.100,172.16.1.10,43887,389,tcp,success,,,,43898,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:14:00,pfSense_Suricata,http,192.168.1.102,172.16.1.10,46454,443,tcp,success,,,/favicon.ico,90117,0.02,,,GET,302,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:14:28,pfSense_Suricata,http,192.168.10.101,172.16.1.11,8440,443,tcp,success,,,/favicon.ico,112275,0.02,,,GET,200,Edge/126,normal,штатная активность стенда
2026-05-07 09:14:56,DC-DNS,dns,192.168.20.102,192.168.1.200,35425,53,tcp,success,,,,80995,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:15:24,pfSense_Suricata,http,192.168.10.100,172.16.1.11,29058,80,tcp,success,,,/login,64104,0.02,,,GET,200,Chrome/125,normal,штатная активность стенда
2026-05-07 09:15:52,DC-DNS,dns,192.168.1.102,172.16.1.12,21344,53,tcp,success,,,,31895,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:16:20,pfSense_Suricata,http,192.168.1.102,192.168.1.200,23493,80,tcp,success,,,/favicon.ico,61148,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:16:48,Linux-auth,net_conn,192.168.20.102,172.16.1.11,62861,22,tcp,success,,,,3719,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:17:16,Reverse-proxy,http,192.168.20.102,172.16.1.11,60535,80,tcp,success,,,/favicon.ico,97966,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:17:44,pfSense_Suricata,net_conn,192.168.10.100,172.16.1.12,60435,22,tcp,success,,,,71947,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:18:12,Reverse-proxy,http,192.168.20.101,172.16.1.11,33115,80,tcp,success,,,/api/status,84945,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:18:40,pfSense_Suricata,dns,192.168.20.102,172.16.1.10,42758,53,tcp,success,,,,18994,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:19:08,Windows-EventLog,net_conn,192.168.1.102,192.168.1.102,7914,389,tcp,success,,,,102674,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:19:36,Reverse-proxy,http,192.168.20.102,172.16.1.10,1163,80,tcp,success,,,/index,86679,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:20:04,pfSense_Suricata,net_conn,192.168.1.102,172.16.1.10,3390,22,tcp,success,,,,91081,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:20:32,Arkime,http,192.168.10.100,172.16.1.10,62307,443,tcp,success,,,/index,104281,0.02,,,GET,200,Edge/126,normal,штатная активность стенда
2026-05-07 09:21:00,pfSense_Suricata,net_conn,192.168.10.101,172.16.1.10,54840,445,tcp,success,,,,90163,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:21:28,DC-DNS,dns,192.168.1.102,192.168.1.200,61221,53,tcp,success,,,,75877,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:21:56,Arkime,http,192.168.20.102,192.168.1.102,51296,443,tcp,failure,,,/index,47035,0.02,,,GET,404,Chrome/125,normal,штатная активность стенда
2026-05-07 09:22:24,Windows-EventLog,net_conn,192.168.10.101,172.16.1.12,25585,445,tcp,success,,,,43988,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:22:52,Linux-auth,net_conn,192.168.10.101,192.168.1.200,5308,22,tcp,success,,,,3128,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:23:20,pfSense_Suricata,http,192.168.20.101,172.16.1.12,35875,443,tcp,success,,,/index,100316,0.02,,,GET,200,Chrome/125,normal,штатная активность стенда
2026-05-07 09:23:48,pfSense_Suricata,http,192.168.10.101,192.168.1.200,11908,80,tcp,success,,,/login,111140,0.02,,,GET,200,Chrome/125,normal,штатная активность стенда
2026-05-07 09:24:16,pfSense_Suricata,net_conn,192.168.10.100,192.168.1.200,31660,445,tcp,success,,,,53731,0.02,,,,0,,normal,штатная активность стенда
2026-05-07 09:24:44,Reverse-proxy,http,192.168.20.102,192.168.1.102,33689,443,tcp,success,,,/login,116437,0.02,,,GET,200,Mozilla/5.0,normal,штатная активность стенда
2026-05-07 09:25:01,pfSense_Snort,net_conn,10.10.51.20,172.16.1.11,23807,11211,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:01,pfSense_Snort,net_conn,10.10.51.20,172.16.1.12,26166,389,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:01,pfSense_Snort,net_conn,10.10.51.20,172.16.1.10,19933,1433,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:05,pfSense_Snort,net_conn,10.10.51.20,172.16.1.12,12290,80,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:06,pfSense_Snort,net_conn,10.10.51.20,172.16.1.11,12646,21,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:07,pfSense_Snort,net_conn,10.10.51.20,172.16.1.10,2796,445,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:10,pfSense_Snort,net_conn,10.10.51.20,172.16.1.10,50984,143,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:10,pfSense_Snort,net_conn,10.10.51.20,172.16.1.11,20289,27017,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
2026-05-07 09:25:11,pfSense_Snort,net_conn,10.10.51.20,172.16.1.12,54825,3389,tcp,failure,,,,64,0.02,,,,0,,scan,внешнее сканирование DMZ
