timestamp,source,event_type,src_ip,dst_ip,src_port,dst_port,proto,outcome,user,domain,uri,bytes,duration,rule_id,signature,method,status_code,user_agent,event_id,process_name,command_line,true_label,comment
2026-05-04 09:00:00,pfSense_Suricata,http,192.168.1.102,172.16.1.10,38926,80,tcp,success,,,/login,48779,0.02,,,GET,200,Chrome/126,,,,normal,штатная активность стенда
2026-05-04 09:00:23,DC-DNS,dns,192.168.20.101,192.168.1.102,7801,53,tcp,success,,repo.debian.org,,14410,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:00:46,Linux-auth,net_conn,192.168.1.102,192.168.1.102,8332,22,tcp,success,,,,65602,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:01:09,Arkime,http,192.168.1.102,192.168.1.200,6308,443,tcp,success,,,/login,51689,0.02,,,GET,200,Edge/126,,,,normal,штатная активность стенда
2026-05-04 09:01:32,pfSense_Suricata,net_conn,192.168.20.102,172.16.1.11,41911,445,tcp,success,,,,11081,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:01:55,pfSense_Suricata,net_conn,192.168.10.101,172.16.1.11,11109,389,tcp,success,,,,65809,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:02:18,DC-DNS,dns,192.168.20.102,192.168.1.200,39387,53,tcp,success,,repo.debian.org,,624,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:02:41,pfSense_Suricata,net_conn,192.168.1.102,172.16.1.11,54071,445,tcp,success,,,,62579,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:03:04,Linux-auth,net_conn,192.168.10.100,172.16.1.10,9425,22,tcp,success,,,,50570,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:03:27,Windows-EventLog,net_conn,192.168.10.101,192.168.1.102,18206,445,tcp,success,,,,58389,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:03:50,pfSense_Suricata,http,192.168.20.101,172.16.1.11,55930,80,tcp,success,,,/docs,54732,0.02,,,GET,200,Mozilla/5.0,,,,normal,штатная активность стенда
2026-05-04 09:04:13,Reverse-proxy,http,192.168.10.101,172.16.1.12,40496,443,tcp,success,,,/api/status,33489,0.02,,,GET,200,Edge/126,,,,normal,штатная активность стенда
2026-05-04 09:04:36,Linux-auth,net_conn,192.168.10.101,192.168.1.102,25346,22,tcp,success,,,,69280,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:04:59,Windows-EventLog,net_conn,192.168.10.101,192.168.1.102,51201,389,tcp,success,,,,60326,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:05:22,Linux-auth,net_conn,192.168.10.101,192.168.1.102,60188,22,tcp,success,,,,57360,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:05:45,pfSense_Suricata,http,192.168.10.100,192.168.1.102,2821,443,tcp,success,,,/portal,22204,0.02,,,GET,200,Mozilla/5.0,,,,normal,штатная активность стенда
2026-05-04 09:06:08,Reverse-proxy,http,192.168.10.101,172.16.1.10,3691,80,tcp,success,,,/api/status,29931,0.02,,,GET,200,Chrome/126,,,,normal,штатная активность стенда
2026-05-04 09:06:31,pfSense_Suricata,dns,192.168.10.100,172.16.1.10,31940,53,tcp,success,,updates.microsoft.com,,21250,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:06:54,Windows-EventLog,net_conn,192.168.10.100,172.16.1.11,32520,389,tcp,success,,,,80060,0.02,,,,0,,,,,normal,штатная активность стенда
2026-05-04 09:07:17,Reverse-proxy,http,192.168.10.101,192.168.1.102,50596,443,tcp,success,,,/favicon.ico,16262,0.02,,,GET,302,Chrome/126,,,,normal,штатная активность стенда
2026-05-04 09:07:40,Windows-EventLog,net_conn,192.168.10.100,192.168.1.200,44677,389,tcp,success,,,,23923,0.02,,,,0,,,,,normal,штатная активность стенда
